name,rating
100% Bran,68.402973
100% Natural Bran,33.983679
All-Bran,59.425505
All-Bran with Extra Fiber,93.704912
Almond Delight,34.384843
Apple Cinnamon Cheerios,29.509541
Apple Jacks,33.174094
Basic 4,37.038562
Bran Chex,49.120253
Bran Flakes,53.313813
Cap'n'Crunch,18.042851
Cheerios,50.764999
Cinnamon Toast Crunch,19.823573
Clusters,40.400208
Cocoa Puffs,22.736446
Corn Chex,41.445019
Corn Flakes,45.863324
Corn Pops,35.782791
Count Chocula,22.396513
Cracklin' Oat Bran,40.448772
Cream of Wheat (Quick),64.533816
Crispix,46.895644
Crispy Wheat & Raisins,36.176196
Double Chex,44.330856
Froot Loops,32.207582
Frosted Flakes,31.435973
Frosted Mini-Wheats,58.345141
Fruit & Fibre Dates; Walnuts; and Oats,40.917047
Fruitful Bran,41.015492
Fruity Pebbles,28.025765
Golden Crisp,35.252444
Golden Grahams,23.804043
Grape Nuts Flakes,52.076897
Grape-Nuts,53.371007
Great Grains Pecan,45.811716
Honey Graham Ohs,21.871292
Honey Nut Cheerios,31.072217
Honey-comb,28.742414
Just Right Crunchy  Nuggets,36.523683
Just Right Fruit & Nut,36.471512
Kix,39.241114
Life,45.328074
Lucky Charms,26.734515
Maypo,54.850917
Muesli Raisins; Dates; & Almonds,37.136863
Muesli Raisins; Peaches; & Pecans,34.139765
Mueslix Crispy Blend,30.313351
Multi-Grain Cheerios,40.105965
Nut&Honey Crunch,29.924285
Nutri-Grain Almond-Raisin,40.69232
Nutri-grain Wheat,59.642837
Oatmeal Raisin Crisp,30.450843
Post Nat. Raisin Bran,37.840594
Product 19,41.50354
Puffed Rice,60.756112
Puffed Wheat,63.005645
Quaker Oat Squares,49.511874
Quaker Oatmeal,50.828392
Raisin Bran,39.259197
Raisin Nut Bran,39.7034
Raisin Squares,55.333142
Rice Chex,41.998933
Rice Krispies,40.560159
Shredded Wheat,68.235885
Shredded Wheat 'n'Bran,74.472949
Shredded Wheat spoon size,72.801787
Smacks,31.230054
Special K,53.131324
Strawberry Fruit Wheats,59.363993
Total Corn Flakes,38.839746
Total Raisin Bran,28.592785
Total Whole Grain,46.658844
Triples,39.106174
Trix,27.753301
Wheat Chex,49.787445
Wheaties,51.592193
Wheaties Honey Gold,36.187559
