type,id,user_id,timestamp
comment,26099853,singularity2001,2021-02-11 09:53:46 UTC
comment,26099852,labawi,2021-02-11 09:53:42 UTC
comment,26099851,Isinlor,2021-02-11 09:53:12 UTC
comment,26099850,raverbashing,2021-02-11 09:52:50 UTC
story,26099849,harporoeder,2021-02-11 09:52:12 UTC
comment,26099848,borisandcrispin,2021-02-11 09:52:09 UTC
comment,26099847,kohlerm,2021-02-11 09:52:04 UTC
comment,26099846,postingawayonhn,2021-02-11 09:51:47 UTC
comment,26099845,lxgr,2021-02-11 09:50:40 UTC
comment,26099844,GoblinSlayer,2021-02-11 09:50:20 UTC
comment,26099843,jillesvangurp,2021-02-11 09:50:16 UTC
comment,26099842,holstvoogd,2021-02-11 09:50:15 UTC
story,26099841,trenchgun,2021-02-11 09:50:06 UTC
comment,26099840,DonHopkins,2021-02-11 09:50:00 UTC
comment,26099839,mPReDiToR,2021-02-11 09:49:51 UTC
comment,26099838,square_usual,2021-02-11 09:49:47 UTC
comment,26099837,MagnumOpus,2021-02-11 09:49:22 UTC
comment,26099836,sydd,2021-02-11 09:49:11 UTC
comment,26099835,mewpmewp2,2021-02-11 09:49:04 UTC
comment,26099834,jnxx,2021-02-11 09:48:59 UTC
comment,26099833,Grustaf,2021-02-11 09:48:53 UTC
comment,26099832,Cloudef,2021-02-11 09:48:28 UTC
comment,26099831,TeMPOraL,2021-02-11 09:48:27 UTC
comment,26099830,MattGaiser,2021-02-11 09:48:21 UTC
comment,26099829,Traubenfuchs,2021-02-11 09:48:20 UTC
comment,26099828,bauble,2021-02-11 09:48:19 UTC
comment,26099827,kohlerm,2021-02-11 09:48:18 UTC
comment,26099826,mvolfik,2021-02-11 09:48:17 UTC
comment,26099825,saagarjha,2021-02-11 09:48:09 UTC
comment,26099824,FridgeSeal,2021-02-11 09:48:05 UTC
story,26099823,ArtificialLaw,2021-02-11 09:47:55 UTC
comment,26099822,jeffchien,2021-02-11 09:47:50 UTC
comment,26099821,nbevans,2021-02-11 09:47:47 UTC
comment,26099820,bovine3dom,2021-02-11 09:47:45 UTC
comment,26099819,kzrdude,2021-02-11 09:47:44 UTC
comment,26099818,frederik_secfi,2021-02-11 09:47:30 UTC
comment,26099817,Const-me,2021-02-11 09:47:17 UTC
comment,26099816,sandGorgon,2021-02-11 09:47:15 UTC
comment,26099815,bildung,2021-02-11 09:47:07 UTC
comment,26099814,saagarjha,2021-02-11 09:46:12 UTC
story,26099813,rexthonyy,2021-02-11 09:46:05 UTC
comment,26099812,noch,2021-02-11 09:45:45 UTC
comment,26099811,pachico,2021-02-11 09:45:41 UTC
comment,26099810,undecisive,2021-02-11 09:45:30 UTC
comment,26099809,Hamuko,2021-02-11 09:45:29 UTC
story,26099807,bo0tzz,2021-02-11 09:45:18 UTC
comment,26099808,Grustaf,2021-02-11 09:45:18 UTC
comment,26099806,akudha,2021-02-11 09:44:50 UTC
comment,26099805,WJW,2021-02-11 09:44:37 UTC
comment,26099804,mmmeff,2021-02-11 09:44:04 UTC
comment,26099803,fredsted,2021-02-11 09:43:07 UTC
story,26099802,top_sigrid,2021-02-11 09:43:02 UTC
story,26099801,winstonsmith,2021-02-11 09:42:53 UTC
comment,26099800,red_trumpet,2021-02-11 09:42:42 UTC
comment,26099799,roel_v,2021-02-11 09:42:35 UTC
comment,26099798,dshep,2021-02-11 09:41:33 UTC
comment,26099797,afarrell,2021-02-11 09:41:19 UTC
comment,26099796,waste_monk,2021-02-11 09:41:15 UTC
comment,26099795,IanSanders,2021-02-11 09:41:02 UTC
story,26099794,Shreya-602,2021-02-11 09:40:58 UTC
comment,26099793,Swenrekcah,2021-02-11 09:40:53 UTC
comment,26099792,fsflover,2021-02-11 09:40:44 UTC
comment,26099791,mewpmewp2,2021-02-11 09:40:37 UTC
comment,26099790,a012,2021-02-11 09:40:13 UTC
comment,26099789,the-dude,2021-02-11 09:40:07 UTC
comment,26099788,dragonwriter,2021-02-11 09:40:06 UTC
comment,26099787,analognoise,2021-02-11 09:40:04 UTC
story,26099786,mikk14,2021-02-11 09:39:51 UTC
story,26099785,Shreya-602,2021-02-11 09:39:50 UTC
story,26099784,webscraping99,2021-02-11 09:39:46 UTC
comment,26099783,_nalply,2021-02-11 09:39:14 UTC
comment,26099782,waste_monk,2021-02-11 09:39:10 UTC
comment,26099781,svat,2021-02-11 09:38:48 UTC
story,26099780,LaunchPropeller,2021-02-11 09:38:42 UTC
comment,26099779,glangdale,2021-02-11 09:38:11 UTC
comment,26099778,dinobook674328,2021-02-11 09:37:52 UTC
comment,26099777,mj4m1n,2021-02-11 09:37:49 UTC
comment,26099776,v-yadli,2021-02-11 09:37:48 UTC
comment,26099775,afarrell,2021-02-11 09:37:08 UTC
story,26099774,dweberz,2021-02-11 09:36:46 UTC
comment,26099773,andrewshadura,2021-02-11 09:36:30 UTC
comment,26099772,hermitcrab,2021-02-11 09:36:13 UTC
comment,26099771,JakeO_,2021-02-11 09:36:04 UTC
comment,26099769,Farts_in_mouth,2021-02-11 09:35:18 UTC
story,26099770,masslite,2021-02-11 09:35:18 UTC
comment,26099767,stale2002,2021-02-11 09:35:17 UTC
comment,26099768,afarrell,2021-02-11 09:35:17 UTC
comment,26099766,Yizahi,2021-02-11 09:35:12 UTC
comment,26099765,mrweasel,2021-02-11 09:35:08 UTC
comment,26099764,yodelshady,2021-02-11 09:34:41 UTC
comment,26099763,barbacoa,2021-02-11 09:34:12 UTC
comment,26099762,kwanbix,2021-02-11 09:33:48 UTC
comment,26099761,jsemrau,2021-02-11 09:33:15 UTC
comment,26099760,feralimal,2021-02-11 09:33:14 UTC
comment,26099759,roberja90,2021-02-11 09:33:03 UTC
story,26099758,roberja90,2021-02-11 09:33:03 UTC
comment,26099757,EdwardDiego,2021-02-11 09:32:56 UTC
comment,26099756,TeMPOraL,2021-02-11 09:32:49 UTC
comment,26099755,6nf,2021-02-11 09:32:48 UTC
comment,26099754,throwaway189262,2021-02-11 09:32:41 UTC
comment,26099753,mattmanser,2021-02-11 09:32:12 UTC
comment,26099752,michaelscott,2021-02-11 09:31:48 UTC
comment,26099751,supr_strudl,2021-02-11 09:31:39 UTC
comment,26099750,dragonwriter,2021-02-11 09:31:01 UTC
comment,26099749,esja,2021-02-11 09:30:45 UTC
comment,26099748,franga2000,2021-02-11 09:29:32 UTC
comment,26099747,SideburnsOfDoom,2021-02-11 09:29:18 UTC
story,26099745,utsav_prajapati,2021-02-11 09:29:09 UTC
comment,26099746,utsav_prajapati,2021-02-11 09:29:09 UTC
comment,26099744,GoblinSlayer,2021-02-11 09:28:28 UTC
story,26099743,flyingkiwi44,2021-02-11 09:28:26 UTC
story,26099742,DoreenMichele,2021-02-11 09:28:21 UTC
comment,26099741,feralimal,2021-02-11 09:28:09 UTC
story,26099740,prakhargurunani,2021-02-11 09:27:34 UTC
comment,26099739,inglor_cz,2021-02-11 09:27:23 UTC
comment,26099738,johnjackjames,2021-02-11 09:27:21 UTC
comment,26099737,square_usual,2021-02-11 09:27:20 UTC
comment,26099736,spacemanmatt,2021-02-11 09:27:02 UTC
comment,26099735,Const-me,2021-02-11 09:26:54 UTC
comment,26099734,throwaway189262,2021-02-11 09:26:46 UTC
comment,26099733,analognoise,2021-02-11 09:26:41 UTC
comment,26099732,icefrakker,2021-02-11 09:26:34 UTC
comment,26099731,redcat7,2021-02-11 09:26:24 UTC
comment,26099730,feralimal,2021-02-11 09:26:19 UTC
comment,26099729,greatgib,2021-02-11 09:25:51 UTC
comment,26099728,kalleboo,2021-02-11 09:25:20 UTC
comment,26099727,emteycz,2021-02-11 09:25:11 UTC
comment,26099726,bengale,2021-02-11 09:24:57 UTC
comment,26099725,bspammer,2021-02-11 09:24:48 UTC
comment,26099724,anyfactor,2021-02-11 09:24:20 UTC
comment,26099723,dan1234,2021-02-11 09:23:43 UTC
comment,26099722,saagarjha,2021-02-11 09:23:30 UTC
comment,26099721,spacemanmatt,2021-02-11 09:23:04 UTC
comment,26099720,eeZah7Ux,2021-02-11 09:23:03 UTC
comment,26099719,phire,2021-02-11 09:22:58 UTC
comment,26099718,imgabe,2021-02-11 09:22:52 UTC
comment,26099717,acailly,2021-02-11 09:22:42 UTC
story,26099716,acailly,2021-02-11 09:22:31 UTC
story,26099715,,2021-02-11 09:22:11 UTC
comment,26099714,mxstbr,2021-02-11 09:21:36 UTC
comment,26099713,tobiaslins,2021-02-11 09:21:36 UTC
story,26099712,deniswsrosa,2021-02-11 09:21:33 UTC
story,26099711,,2021-02-11 09:21:18 UTC
comment,26099710,throwaway189262,2021-02-11 09:21:11 UTC
comment,26099709,darkfirefly,2021-02-11 09:20:59 UTC
comment,26099708,bzb6,2021-02-11 09:20:54 UTC
comment,26099707,micrio,2021-02-11 09:20:39 UTC
